ID,area,comment,confidence,lat,lng,name,negative,positive,repost,sentiment,thumb,time,uid_0,uid_1,userarea,Shape_Leng,area_code,count,txt
31,武汉·后湖,0,0.917083,30.64924688,114.3013156,大瓶秘密花园,0.962687,0.0373128,5,0,0,01月20日 20:37, , ,湖北 武汉,0.44466066,18,1,下班地铁上 我觉得自己像个战士 可为什么你们居然还是不戴口罩 是懒惰呢还是愚昧#境内确诊217例新型冠状病毒肺炎病例#
32,武汉·唐家墩,0,0.950162,30.61638776,114.2649376,丶婳墨清浅,0.0224272,0.977573,0,2,0,01月20日 20:16, , ,湖北 武汉,0.30871907,20,1,#境内确诊217例新型冠状病毒肺炎病例# 保持平和心态，做好防范措施，不必恐慌，该干啥干啥，明天继续上班
33,武汉·江汉路,3,0.836313,30.5861812,114.2823964,顾美人溪兮,0.0736591,0.926341,0,2,0,01月20日 21:39, , ,湖北 武汉,0.44466066,18,1,#境内确诊217例新型冠状病毒肺炎病例#
34,武汉·武汉华润紫云府,0,0.876194,30.47761877,114.2737091,神不在的街角,0.0557129,0.944287,0,2,0,01月20日 22:39, , ,湖北 武汉,2.931269894,10,1,#境内确诊217例新型冠状病毒肺炎病例#武汉的瑟瑟发抖不敢出门了
35,武汉·金地·澜菲溪岸,5,0.995772,30.51649658,114.2057997,张钧甯的小迷弟,0.998098,0.00190241,0,0,0,01月20日 22:21, , ,湖北 武汉,0.52938045,22,1,肺炎差点要了??的命
36,武汉·城开·汉口秀园,7,0.971215,30.63959232,114.2576514,罗云熙的vlog,0.987047,0.0129531,0,0,0,01月20日 23:26, , ,其他,0.30871907,20,1,#钟南山肯定新型冠状病毒肺炎人传人#我让我爸不要出门，他问我菜场能不能去，我竟无法回答……
37,武汉·江滩,6,0.980181,30.58829655,114.2972908,谁他大爷的,0.991082,0.00891833,0,0,0,01月21日 00:48, , ,湖北 武汉,0.44466066,18,1,太震惊了，刚下班，在车上有时间刷微博，才发现，原来病毒肺炎情况已经这么严重了，刚开始，我还纳闷，怎么那么多朋友来问我情况，保佑我们，安稳度过这段时间??
38,武汉·汉口火车站,0,0.564196,30.62153636,114.24898,丶婳墨清浅,0.196112,0.803888,0,2,0,01月21日 00:26, , ,湖北 武汉,0.30871907,20,1,#境内确诊217例新型冠状病毒肺炎病例#   淡定淡定淡定，出门戴口罩，避免去人流量大的地方，勤洗手，尽量自己做饭，不慌不慌不慌，我稳的一批！
39,武汉·金地自在城,0,0.953388,30.60934717,114.3809182,教子育儿有方,0.979024,0.0209755,0,0,0,01月21日 00:20,str,mesny,0,2.931269894,10,1,新型冠状病毒感染的肺炎有何症状？如何预防？
40,武汉·司门口,21,0.678287,30.54946088,114.294989,VivaY12,0.144771,0.855229,2,2,0,01月21日 00:15, , ,湖北 武汉,0.918169117,23,1,#武汉病毒性肺炎5大谣言# ?????♀?
41,武汉·泓悦府,135,0.390619,30.51910943,114.3381667,豆豆家的银点渐层,0.274221,0.725779,1,2,0,01月21日 00:15, , ,湖北 武汉,2.931269894,10,1,2020年1月21日0:11分，不知道是因为紧张还是怎么回事，下班后一直有点发烧，此时此刻老公还因为新型冠状病毒肺炎的事，在医院加班。有了孩子后，最担心的就是怕宝宝生病。语无伦次了，想有个人抱抱我。#境内确诊217例新型冠状病毒肺炎病例##钟南山肯定新型冠状病毒肺炎人传?
42,武汉·江汉北路,42,0.840938,30.59125805,114.2741554,夏木先生,0.071578,0.928422,8,2,0,01月21日 00:12,str,sangxiamu,0,0.30871907,20,1,#有医务人员被传染新型冠状病毒肺炎#深夜还在加班的武汉市疾控中心。
43,武汉·武汉高铁站,27,0.851392,30.59386784,114.2866731,我本一书生,0.933126,0.0668736,3,0,0,01月21日 00:08,str,wobenyishusheng,0,0.44466066,18,1,#境内确诊217例新型冠状病毒肺炎病例#今天早上的武汉高铁站，戴口罩的旅客不到10%，戴口罩的工作人员为0。不知道该说什么
44,武汉·后湖,8,0.837311,30.64924688,114.3013156,熊菲菲-vi,0.92679,0.0732102,0,0,0,01月21日 05:58, , ,湖北 武汉,0.44466066,18,1,#境内确诊217例新型冠状病毒肺炎病例# 半夜失眠刷微博到刷到害怕死 根本睡不着刷到怀疑自己的症状就是病魔快快走?????? ???
45,武汉·街道口,0,0.841946,30.52650357,114.3537022,哪有那么多的改变,0.928876,0.0711244,0,0,0,01月21日 08:35, , ,0,2.931269894,10,1,#钟南山肯定新型冠状病毒肺炎人传人#朋友圈里的武汉人居然还有这种心态好好防护，请重视好么！不恐慌也要认真对待啊！
46,武汉·汉口火车站,1,0.611317,30.62153636,114.24898,夕白_Bonnie,0.174908,0.825092,0,2,0,01月21日 08:25, , ,湖北 武汉,0.30871907,20,1,#Run-Lany# 是归途还是逃离#武汉新增136例新型冠状病毒肺炎病例#
47,武汉·江汉路步行商业街,7,0.999009,30.58605471,114.2825757,从此奔天涯,0.999554,0.000445951,0,0,0,01月21日 09:44, , ,湖北 武汉,0.44466066,18,1,连续三年在科过年，今年好不容易赶回家，结果碰上这闹心的肺炎，计划都打乱了，看新闻越来越严重，哪都不敢去宅在家，回来真不是时候。
48,武汉·汉口站,11,0.0781051,30.62153636,114.24898,给予你晚风,0.414853,0.585147,2,2,0,01月21日 10:17, , ,湖北 武汉,0.30871907,20,1,昨天在武汉站看到的是百分之八十的人戴口罩，今天汉口站看到有百分之九十五了，昨天回来上班就在站里没出去过#新型冠状病毒肺炎纳入法定传染病#
49,武汉·龙江庭院B区,0,0.987902,30.54655048,114.2479178,170老弟,0.994556,0.00544421,0,0,0,01月21日 10:17, , ,湖北 武汉,0.52938045,22,1,肺炎莫挨老子
50,武汉·武昌火车站,12,0.981737,30.53088598,114.3121545,CCheny--,0.991782,0.0082184,1,0,0,01月21日 11:59, , ,湖北 武汉,0.918169117,23,1,还有很多铮铮铁汉不戴口罩?? #钟南山肯定新型冠状病毒肺炎人传人#
51,武汉·福莱中心,2,0.993968,30.57060344,114.3153046,小兔叽不生气,0.997286,0.00271443,0,0,0,01月21日 11:30, , ,湖北 武汉,0.918169117,23,1,还在武汉搬砖的我 今天开始慌了要不这砖不搬了？搬出不明肺炎代价就大了
52,武汉·小东门,3,0.630388,30.54530088,114.3110341,卓尔故乡的云,0.833674,0.166326,0,0,0,01月21日 11:21, , ,湖北 武汉,0.918169117,23,1,好吧，我认怂#新型冠状病毒肺炎纳入法定传染病#
53,武汉·泛海城市广场,33,0.195129,30.60558473,114.2500393,我才是任土土,0.637808,0.362192,1,0,0,01月21日 11:07, , ,湖北 武汉,0.30871907,20,1,备足了口罩做了保养换了电瓶准备逃离武汉结果今天爆胎#武汉新增136例新型冠状病毒肺炎病例#
54,武汉·东湖风景区,3,0.998485,30.54583487,114.4004719,安妮是个外星人,0.999318,0.000681834,0,0,0,01月21日 13:59,str,arsenalannie,0,0.918169117,23,1,#新型冠状病毒肺炎纳入法定传染病#今天来的游客劝都劝不走，非要进园，还都不带口罩，员工都怕得要死
55,武汉·佳兆业金域天下,0,0.454829,30.48339815,114.2863106,梧桐若语汪贤,0.245327,0.754673,0,2,0,01月21日 13:47, , ,其他,2.931269894,10,1,闻名天下，不需要热干面，黄鹤楼，东湖，鸭脖子，一只肺炎病毒就够了……
56,武汉·港澳台风情街,2,0.763795,30.58788561,114.2885601,没有披风的帅超人,0.893708,0.106292,0,0,0,01月21日 13:47, , ,湖北 荆州,0.44466066,18,1,多洗手，少出门，出门一定要带口罩??感冒发烧了一定要即使看医#钟南山肯定新型冠状病毒肺炎人传人#
57,武汉·街道口,3,0.998829,30.52650357,114.3537022,哪有那么多的改变,0.999473,0.000526764,0,0,0,01月21日 14:38, , ,0,2.931269894,10,1,#越是不明肺炎越不能让公众不明真相#昨天的体温和今天的体温已经退烧了还是决定不回老家过年就待在武汉给父母解释了很久最后理解了希望大家都重视这次疫情像钟院士说的不要盲目乐观年轻人多跟老人说明情况注意防范希望所有人都平安  ?
58,武汉·华南海鲜市场,1,0.841277,30.61960667,114.2567076,瓦屋春哥,0.0714255,0.928575,0,2,0,01月21日 18:50, , ,0,0.30871907,20,1,【武汉市卫健委，截止2020年1月21日下午6:43】关于新型冠状病毒感染的肺炎情况通报。
59,武汉·江汉路,0,0.407315,30.5861812,114.2823964,我是陆佳宝,0.529634,0.470366,0,1,0,01月21日 18:24, , ,湖北 武汉,0.44466066,18,1,你们认真想想 爱情都轮不到你 肺炎会轮到你吗 别太担心 ???，哈哈哈
60,武汉·团结名居·枫园,2,0.521614,30.58747595,114.3480891,陌儿的春天,0.215274,0.784726,0,2,0,01月21日 19:27, , ,湖北 武汉,2.931269894,10,1,#武汉新型肺炎死亡病例增至6例#准备再买点口罩，在武汉真的各个药店都买不到了，网上也飞涨，年后上班真的是担忧
61,武汉·光谷天地,39,0.997289,30.47892653,114.4076088,康康欧巴666,0.99878,0.00121995,0,0,0,01月21日 20:38, , ,0,2.931269894,10,1,增强自身免疫力远比戴口罩有用的多，不要在朋友圈逼逼赖赖了，爱情都轮不到你，更何况肺炎呢？是福不是祸是祸躲不过，该干嘛干嘛！
62,武汉·唐家墩,2,0.366001,30.61638776,114.2649376,曾茜茜兒,0.285299,0.714701,0,2,0,01月21日 20:23, , ,0,0.30871907,20,1,#武汉新型肺炎患者救治由政府买单#今天街上的年轻人都带口罩了，有几个没带口罩的我也免费送了几个，他们说药店卖空了。昨天晚上我去了7-8家药店也是卖空了
63,武汉·唐家墩,0,0.769751,30.61638776,114.2649376,曾茜茜兒,0.103612,0.896388,0,2,0,01月21日 20:18, , ,0,0.30871907,20,1,#武汉新型肺炎患者救治均由政府买单#用的这里有个患者治疗了10多天花了好几万了都。希望武汉平安，阿中真棒！
64,武汉·宝通寺,5,0.48866,30.53420753,114.3352476,不倾城的明媚与阳光,0.230103,0.769897,0,2,0,01月21日 21:42,str,nicholasxxn,0,0.918169117,23,1,#国内确诊291例新型冠状病毒肺炎病例# 健康所系，性命相托
65,武汉·中建康城,0,0.193645,30.47344108,114.4017076,千本雪欢,0.36286,0.63714,0,2,0,01月21日 21:38, , ,湖北 武汉,2.931269894,10,1,麻麻打电话给我说最近青山区也发现有感染新型冠状病毒肺炎，说爸爸想赶紧把我接回来送去乡下避难
66,武汉·万科城花璟苑,11,0.0990522,30.47477593,114.4090882,冰淇淋哈哈哈她她她,0.405426,0.594573,0,2,0,01月21日 21:30, , ,0,2.931269894,10,1,#国内确诊291例新型冠状病毒肺炎病例# 我讨厌憎恶爱吃野味的人，吃完请自己爆炸
67,武汉·南湖·锦城,63,0.98604,30.53320482,114.2001709,xh的脸又红了,0.993718,0.00628186,1,0,0,01月21日 22:47, , ,湖北 武汉,0.52938045,22,1,#黄冈新增12例新型肺炎#家里人真的一点都不重视啊，我爸今天还说了一句特别让我寒心的话，他说这么多人，又不是你一个人……我顿时无fuck可说
68,武汉·市民之家,4,0.856256,30.66114337,114.2894243,一只叫黑豆的猫,0.0646848,0.935315,0,2,0,01月21日 23:27, , ,0,0.44466066,18,1,武汉最近的肺炎闹得人心惶惶，还有市面上各类无良媒体的看热闹不嫌事大。作为普通的一员，在这种敏感的时刻，不信谣、不传谣、不造谣，出门一定戴口罩，不给别人添麻烦就是最大的功德。感谢一线医护人员的付出，希望每个人都平安健康
69,武汉·后湖,0,0.980084,30.64924688,114.3013156,慢生活的小蜗牛405,0.00896234,0.991038,0,2,0,01月21日 23:21, , ,湖北 武汉,0.44466066,18,1,#黄冈新增12例新型肺炎#天哪??希望大家都平安??????
70,武汉·绿色家园,5,0.999294,30.55716156,114.3434712,居老师家小姑娘,0.999682,0.000317655,0,0,0,01月21日 23:03, , ,0,0.918169117,23,1,#黄冈新增12例新型肺炎#我武汉的，打算回黄冈过年，这个年看来只能在家自我隔离了，完全不知道哪里安全年会上老板居然还公然宣称武汉肺炎没外界说的那么严重，中老年人这么不怕死吗
71,武汉·友谊大厦,5,0.243831,30.57873245,114.2743603,座下落梅,0.340276,0.659724,0,2,0,01月22日 00:42, , ,0,0.30871907,20,1,汉口协和医院的街边，无话可说#国内确诊291例新型冠状病毒肺炎病例#
72,武汉·艾尚花桥,6,0.644215,30.62042198,114.2827897,花舞街_ZhuYR,0.160103,0.839897,0,2,0,01月22日 00:39,str,huawujiebigzhu,0,0.44466066,18,1,大晚上刷新一下就有新增被感染的这次这么害怕#专家称武汉冠状病毒肺炎总体可治#
73,武汉·光谷MUSE酒吧,31,0.0295119,30.50663311,114.3946517,本是骆小姐,0.43672,0.56328,0,2,0,01月22日 00:12, , ,湖北 武汉,2.931269894,10,1,大家不要恐慌，爱情都轮不到你，肺炎还能宠幸你？????（进酒吧都是要量体温的哦，里面很安全）
74,武汉·光谷·理想城,2,0.935589,30.47420819,114.4112861,浪欧巴fire,0.0289851,0.971015,0,2,0,01月22日 02:00, , ,湖北 武汉,2.931269894,10,1,#全国已确诊新型肺炎病例319例#
75,武汉·汉口火车站,5,0.956471,30.62153636,114.24898,向俊_君,0.0195882,0.980412,0,2,0,01月22日 07:15, , ,其他,0.30871907,20,1,#全国已确诊新型肺炎病例319例#今天就回去了，一样，没事
76,武汉·武汉美术馆,1,0.537386,30.58653726,114.2875434,武汉江城苏剑,0.208176,0.791824,0,2,0,01月22日 08:53, , ,湖北 武汉,0.44466066,18,1,专家：新型冠状病毒肺炎潜伏期平均约7天国家卫健委专家组成员高占成表示，新型冠状病毒肺炎的潜伏期平均在7天左右，短的在2-3天，长的10-12天。如出现发热、干咳、呼吸衰竭、休克等症状，请及时就医。
77,武汉·金地雄楚1号,43,0.773557,30.49869731,114.3847887,我永远臣服于温柔永远为温柔心动,0.898101,0.101899,0,0,0,01月22日 08:34, , ,0,2.931269894,10,1,#全国已确诊新型肺炎病例319例#买了菜 退了票 闭关一个月 一个人呆着晚上很害怕 有什么能克服一下我心理的恐惧吗晚上不敢闭眼 不到天亮不敢睡觉
78,武汉·武商众圆广场,0,0.510782,30.62887293,114.3713312,沁一夏夏,0.779852,0.220148,0,0,0,01月22日 09:34, , ,0,0.721320639,19,1,补休在家，闲来无事，逛下超市！人不多，但大多数人都提高意识，戴了口罩！快滚蛋吧，病毒????????……#新型肺炎确诊440例死亡9例#
79,武汉·湖北省人民医院,4,0.661349,30.59323919,114.2905066,Savage_Lee,0.847607,0.152393,0,0,0,01月22日 09:06, , ,0,0.44466066,18,1,#国内确诊324例新型肺炎病例# 人少了好多，感觉多的就是门诊进门量体温的地方，在医院还是不带口罩的心是真的大啊草。
80,武汉·后湖,0,0.557498,30.64924688,114.3013156,龙门世天,0.800874,0.199126,0,0,0,01月22日 10:59,str,quanzhendaoshi,0,0.44466066,18,1,#新型肺炎确诊440例死亡9例#当初是不是误会@新京报 ，那时候好多人举报新京报，说他造谣
81,武汉·司门口,4,0.994397,30.54946088,114.294989,菜而好玩胖且能吃,0.997479,0.00252146,0,0,0,01月22日 10:23, , ,湖北 武汉,0.918169117,23,1,#国内确诊324例新型肺炎病例# 情形已经这么严峻了，不能做好防范措施，闭嘴不开杠过个年？  ???
82,武汉·鹦鹉大道,0,0.829021,30.53700775,114.2616616,是小张张嘞,0.0769405,0.923059,0,2,0,01月22日 11:55, , ,湖北 武汉,0.52938045,22,1,希望微博下一次推给我的消息是研发出了对抗新型肺炎的特效药
83,武汉·后湖,0,0.973228,30.64924688,114.3013156,TE好好先生,0.987953,0.0120473,0,0,0,01月22日 12:45, , ,湖北 武汉,0.44466066,18,1,好久没有这个点还在上班了，不回家过年确实毫无期待，最关键这个肺炎好不消停，焦虑
84,武汉·新生活摩尔城,6,0.637661,30.6580874,114.316865,玫瑰花香水YX,0.163053,0.836947,0,2,0,01月22日 12:40, , ,浙江 杭州,0.44466066,18,1,武汉重点肺炎传染区 ????  两个人粗门不容易啊 ?? ?? ??#武汉肺炎##早餐#
85,武汉·楚平路公交站,0,0.233263,30.50231718,114.3745922,小林夫人J-lin,0.654968,0.345032,0,0,0,01月22日 12:30, , ,其他,2.931269894,10,1,#新型肺炎确诊440例死亡9例#开始害怕
86,武汉·武汉万达汉秀剧场,2,0.278088,30.55414725,114.3424451,没有我想要的昵称了,0.324861,0.67514,0,2,0,01月22日 12:01, , ,湖北 武汉,0.918169117,23,1,老公生怕我不能回去了刚刚抱着儿子跟我视频，叫我下午早点打的去火车站，怕要检查#新型肺炎确诊440例死亡9例#
87,武汉·武汉大学信息学部,3,0.937805,30.53090969,114.3538559,Vitodler,0.0279875,0.972012,0,2,0,01月22日 14:43, , ,湖北 武汉,2.931269894,10,1,#新型肺炎确诊440例死亡9例# 成年人的世界，没有容易二字
88,武汉·武汉市汉口医院,6,0.999436,30.63044228,114.3146773,o易圈圈o,0.999746,0.000253796,0,0,0,01月22日 15:59, , ,湖北 武汉,0.44466066,18,1,#新型肺炎病例#我就想知道，我爸在所谓的定点医院 汉口医院 做了各种排除检查 确认是肺部非常见病毒感染，然后，就没有然后了？？也不确诊是不是冠状病毒，也不开药，直接让他回家隔离！？这就是ZF和指定医院的应对措施吗？所以440例之外还有多少像我爸这种患者呢？
89,武汉·楚河汉街,9,0.903824,30.55846603,114.33691,权恆,0.956721,0.0432791,0,0,0,01月22日 16:58, , ,湖北 武汉,2.931269894,10,1,肺炎好可怕，大家记得带口罩，能不要出门就不要出门。刚刚逛街买洗手液，没买到，就买了双鞋。
90,武汉·街道口,742,0.96393,30.52650357,114.3537022,他们叫我海彬哥,0.983768,0.0162315,116,0,0,01月22日 17:23, , ,湖北 武汉,2.931269894,10,1,#武汉市长回应万家宴##武汉市长下台# 政府职能部门天天忽悠武汉人说没事小事，导致不够重视！武汉肺炎大规模扩散政府要负主要责任！武汉市长下台！！
91,武汉·华中科技大学,2,0.972155,30.515377,114.4076895,汁墨_d_笛声,0.0125302,0.98747,3,2,0,01月22日 21:24,str,572090055,0,2.931269894,10,1,#武汉卫健委发布病毒性肺炎高发注意事项##武汉肺炎##新型冠状病毒# 第一次觉得疫情离自己如此之近
92,武汉·阅马场,3,0.969751,30.54189887,114.3005992,黄团元,0.986388,0.0136121,0,0,0,01月22日 21:24, , ,湖北 武汉,0.918169117,23,1,户部巷，武汉著名美食街。然而此时，商家关门，客迹罕至，此乃“武汉肺炎”之所致。感从中来：人头攒动百年香，今夜宽宽空荡荡。可恨肺炎快快亡，子时一过客盈巷。    ——即时口占
93,武汉·武汉大学中南医院,44,0.0591075,30.55545495,114.3471516,天哭了海澜,0.452955,0.547045,5,1,0,01月22日 22:59, , ,湖北 武汉,0.918169117,23,1,#抗击新型肺炎第一线#在全副武装的情况下工作和进行各种操作是对体力和耐力的考验，脱下防护服的那一刻才如释重负，汗水湿透了衣襟看到患者各种症状与指标的下降，是我们最希望看到的结果
94,武汉·江汉路,0,0.66506,30.5861812,114.2823964,沈峰律师-言达律师事务所,0.849277,0.150723,0,0,0,01月22日 23:12, , ,0,0.44466066,18,1,今天，我和女儿一起给家里的纱窗也带上了口罩。这些东西老早就买了，原来是用来准备对付雾霾的，一直没有用上，突然想起来，这次给用上了。我要响应政府号召，不离开武汉，率领全家就地抗击武汉肺炎??????
95,武汉·后湖,0,0.999279,30.64924688,114.3013156,狗崽崽好萌哦嘟嘟嘴,0.000324433,0.999676,0,2,0,01月23日 01:15, , , ,0.44466066,18,1,#全国确诊新型肺炎病例#武汉要坚持住阿 希望来年这座城的樱花依旧满地
